City_ID,City,Country,Max Temp,Lat,Lng,Description,Hotel Name
2,Rikitea,PF,77.23,-23.1203,-134.9692,scattered clouds,People ThankYou
5,Saint-Philippe,RE,74.79,-21.3585,55.7679,scattered clouds,"Chambres d'hôte ""La Trinité"""
20,Avarua,CK,82.45,-21.2078,-159.775,few clouds,Paradise Inn
22,Bilaspur,IN,82.76,22.0833,82.15,scattered clouds,Hotel East Park
32,Raub,MY,74.16,3.7899,101.857,scattered clouds,Daniels Guest House Raub
36,Butaritari,KI,81.9,3.0707,172.7902,overcast clouds,Isles Sunset Lodge
37,Kapaa,US,82.38,22.0752,-159.319,light rain,Sheraton Kauai Coconut Beach Resort
39,Avera,US,76.55,33.194,-82.5271,clear sky,
42,Vao,NC,73.45,-22.6667,167.4833,overcast clouds,Hotel Kou-Bugny
43,Gat,IL,70.39,31.61,34.7642,clear sky,OlusHome
44,Maumere,ID,79.95,-8.6199,122.2111,overcast clouds,Sylvia Hotel
50,Ovalle,CL,70.48,-30.5983,-71.2003,clear sky,Hotel Altos de Tuqui
51,Bonthe,SL,80.64,7.5264,-12.505,broken clouds,Bonthe Holiday Village
52,Hilo,US,84.27,19.7297,-155.09,few clouds,Hilo Hawaiian Hotel
54,Mtwara,TZ,74.14,-10.2667,40.1833,overcast clouds,TIL Hotels Mtwara
57,Manzanillo,CU,80.6,20.3433,-77.1167,scattered clouds,"HOSTAL ""THE YELLOW HOUSE"""
58,Esmeralda,CU,77.2,21.8525,-78.1169,scattered clouds,Centro de Pioneros Exploradores
59,Asyut,EG,77.76,27.181,31.1837,scattered clouds,فندق ميس إيجيبت Miss Egypt Hotel
60,Loma Linda,US,75.11,34.0484,-117.2611,haze,Residence Inn by Marriott San Bernardino
61,Kahului,US,89.62,20.8947,-156.47,scattered clouds,Maui Seaside Hotel
64,Baghdad,IQ,76.91,33.3406,44.4009,dust,Baghdad Hotel
65,Kui Buri,TH,79.99,12.0828,99.8543,light rain,Rista House & Resort
66,Cabedelo,BR,77.67,-6.9811,-34.8339,broken clouds,Hotel Pigalle
67,Arlit,NE,79.81,18.7369,7.3853,clear sky,Case de Passage De la Prefecture
81,Manta,EC,82.18,-0.95,-80.7333,scattered clouds,Balandra Hotel
85,Hithadhoo,MV,84.81,-0.6,73.0833,broken clouds,Scoop Guest House
86,Vaini,TO,82.56,-21.2,-175.2,scattered clouds,Keleti Beach Resort
88,Lahaina,US,89.6,20.8783,-156.6825,scattered clouds,Lahaina Shores Beach Resort
91,Ponnani,IN,81.72,10.767,75.9252,broken clouds,Rouba Residency
93,Hambantota,LK,80.51,6.1241,81.1185,overcast clouds,Bungalow 63
95,Praya,CV,70.34,14.9215,-23.5087,few clouds,LT Aparthotel
96,Puerto Ayora,EC,74.12,-0.7393,-90.3518,few clouds,Finch Bay Galapagos Hotel
102,Santos Reyes Nopala,MX,78.17,16.1092,-97.1561,scattered clouds,HOTEL LA CASCADA
105,Palauig,PH,83.07,15.435,119.9045,overcast clouds,Alperi Botique Resort
106,Bandarbeyla,SO,82.87,9.4942,50.8122,few clouds,JABIR HOTEL
108,La Asuncion,VE,82.13,11.0333,-63.8628,broken clouds,Colinas de Matasiete
110,Sarh,TD,79.56,9.1429,18.3923,scattered clouds,Domicile 1sur le goudron
113,Matara,LK,79.9,5.9485,80.5353,overcast clouds,Amaloh Boutique Resort
