City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Pevek,RU,2022-04-28 23:14:10,69.7008,170.3133,24.76,98,100,7.76,overcast clouds
1,Bredasdorp,ZA,2022-04-28 23:14:10,-34.5322,20.0403,56.61,94,64,4.29,broken clouds
2,Rikitea,PF,2022-04-28 23:14:11,-23.1203,-134.9692,77.23,64,25,18.48,scattered clouds
3,Busselton,AU,2022-04-28 23:14:11,-33.65,115.3333,53.98,80,33,5.61,scattered clouds
4,Aklavik,CA,2022-04-28 23:14:12,68.2191,-135.0107,23.58,80,100,9.55,overcast clouds
5,Saint-Philippe,RE,2022-04-28 23:14:12,-21.3585,55.7679,74.79,81,28,8.95,scattered clouds
6,Torbay,CA,2022-04-28 23:14:12,47.6666,-52.7314,39.76,93,92,4.0,overcast clouds
7,Mataura,NZ,2022-04-28 23:12:07,-46.1927,168.8643,56.48,79,13,1.07,few clouds
8,Lucapa,AO,2022-04-28 23:14:13,-8.4192,20.7447,65.86,97,100,3.18,light rain
9,New Norfolk,AU,2022-04-28 23:12:04,-42.7826,147.0587,63.91,82,3,3.69,clear sky
10,Kodiak,US,2022-04-28 23:11:40,57.79,-152.4072,42.26,69,94,14.32,overcast clouds
11,Altay,CN,2022-04-28 23:14:14,47.8667,88.1167,41.54,38,1,8.28,clear sky
12,Mayo,US,2022-04-28 23:14:14,38.8876,-76.5119,59.18,30,0,13.8,clear sky
13,Masvingo,ZW,2022-04-28 23:14:15,-20.0637,30.8277,55.04,84,61,3.53,broken clouds
14,Esterhazy,CA,2022-04-28 23:14:15,50.65,-102.0843,43.36,84,52,9.93,broken clouds
15,Pryazha,RU,2022-04-28 23:14:15,61.6926,33.6216,31.24,78,100,5.95,overcast clouds
16,Normandin,CA,2022-04-28 23:14:16,48.8333,-72.5321,37.26,54,94,15.66,overcast clouds
17,Ushuaia,AR,2022-04-28 23:14:16,-54.8,-68.3,40.66,87,40,25.32,scattered clouds
18,Westport,US,2022-04-28 23:12:59,41.1415,-73.3579,55.09,23,0,25.32,clear sky
19,Husavik,IS,2022-04-28 23:14:17,66.0449,-17.3389,42.51,67,17,4.07,few clouds
20,Avarua,CK,2022-04-28 23:14:17,-21.2078,-159.775,82.45,74,20,17.27,few clouds
21,Tuktoyaktuk,CA,2022-04-28 23:13:37,69.4541,-133.0374,10.4,85,100,13.8,light snow
22,Bilaspur,IN,2022-04-28 23:14:18,22.0833,82.15,82.76,16,32,4.45,scattered clouds
23,Port Augusta,AU,2022-04-28 23:14:19,-32.5,137.7667,68.61,63,100,6.69,overcast clouds
24,Abdulino,RU,2022-04-28 23:14:19,53.7,53.6667,38.66,80,12,9.75,few clouds
25,Hermanus,ZA,2022-04-28 23:13:25,-34.4187,19.2345,51.8,89,98,4.23,overcast clouds
26,Ponta Do Sol,PT,2022-04-28 23:14:19,32.6667,-17.1,64.71,81,96,3.13,overcast clouds
27,Cape Town,ZA,2022-04-28 23:14:20,-33.9258,18.4232,62.91,87,67,1.99,broken clouds
28,Pisco,PE,2022-04-28 23:14:20,-13.7,-76.2167,66.25,88,98,6.91,overcast clouds
29,Ostrovnoy,RU,2022-04-28 23:14:21,68.0531,39.5131,19.47,77,100,22.48,overcast clouds
30,Fort Nelson,CA,2022-04-28 23:11:37,58.8053,-122.7002,34.18,99,100,8.88,overcast clouds
31,Huarmey,PE,2022-04-28 23:14:21,-10.0681,-78.1522,68.5,85,96,7.85,overcast clouds
32,Raub,MY,2022-04-28 23:14:22,3.7899,101.857,74.16,96,40,1.72,scattered clouds
33,Lasa,IT,2022-04-28 23:09:59,46.6166,10.7002,48.69,72,3,2.62,clear sky
34,Oktyabrskiy,RU,2022-04-28 23:14:22,54.4815,53.471,36.21,80,33,4.63,scattered clouds
35,Kargasok,RU,2022-04-28 23:14:22,59.0556,80.8572,54.48,85,99,12.33,overcast clouds
36,Butaritari,KI,2022-04-28 23:14:23,3.0707,172.7902,81.9,79,99,16.02,overcast clouds
37,Kapaa,US,2022-04-28 23:14:23,22.0752,-159.319,82.38,82,100,16.11,light rain
38,Moron,AR,2022-04-28 23:14:24,-34.6534,-58.6198,55.96,38,0,4.61,clear sky
39,Avera,US,2022-04-28 23:14:24,33.194,-82.5271,76.55,48,5,6.31,clear sky
40,Grindavik,IS,2022-04-28 23:14:25,63.8424,-22.4338,46.87,93,75,12.66,broken clouds
41,Mangai,CD,2022-04-28 23:14:25,-4.05,19.5333,69.82,94,82,1.1,broken clouds
42,Vao,NC,2022-04-28 23:14:25,-22.6667,167.4833,73.45,76,100,24.61,overcast clouds
43,Gat,IL,2022-04-28 23:14:26,31.61,34.7642,70.39,58,0,0.45,clear sky
44,Maumere,ID,2022-04-28 23:14:26,-8.6199,122.2111,79.95,80,97,3.85,overcast clouds
45,Leningradskiy,RU,2022-04-28 23:14:27,69.3833,178.4167,22.66,90,100,2.33,overcast clouds
46,Talnakh,RU,2022-04-28 23:14:27,69.4865,88.3972,8.73,88,100,2.17,overcast clouds
47,Corner Brook,CA,2022-04-28 23:15:27,48.9667,-57.9484,37.56,94,100,8.68,overcast clouds
48,Airai,TL,2022-04-28 23:15:28,-8.9266,125.4092,61.23,77,85,2.55,overcast clouds
49,Punta Arenas,CL,2022-04-28 23:15:28,-53.15,-70.9167,42.91,81,40,21.85,scattered clouds
50,Ovalle,CL,2022-04-28 23:15:29,-30.5983,-71.2003,70.48,41,0,2.26,clear sky
51,Bonthe,SL,2022-04-28 23:15:29,7.5264,-12.505,80.64,84,75,3.78,broken clouds
52,Hilo,US,2022-04-28 23:15:29,19.7297,-155.09,84.27,74,20,13.8,few clouds
53,Qaanaaq,GL,2022-04-28 23:15:30,77.484,-69.3632,27.27,95,99,5.75,light snow
54,Mtwara,TZ,2022-04-28 23:15:30,-10.2667,40.1833,74.14,87,90,13.78,overcast clouds
55,Belaya Gora,RU,2022-04-28 23:15:31,68.5333,146.4167,12.79,86,80,2.77,broken clouds
56,Naerbo,NO,2022-04-28 23:15:31,58.6667,5.65,43.61,92,75,12.44,broken clouds
57,Manzanillo,CU,2022-04-28 23:15:32,20.3433,-77.1167,80.6,51,49,3.62,scattered clouds
58,Esmeralda,CU,2022-04-28 23:15:32,21.8525,-78.1169,77.2,48,34,11.18,scattered clouds
59,Asyut,EG,2022-04-28 23:15:32,27.181,31.1837,77.76,10,43,3.2,scattered clouds
60,Loma Linda,US,2022-04-28 23:14:02,34.0484,-117.2611,75.11,49,40,7.0,haze
61,Kahului,US,2022-04-28 23:14:28,20.8947,-156.47,89.62,43,40,19.57,scattered clouds
62,Bethel,US,2022-04-28 23:15:33,41.3712,-73.414,52.48,35,4,11.99,clear sky
63,Thompson,CA,2022-04-28 23:15:33,55.7435,-97.8558,48.36,37,75,12.66,broken clouds
